Country/Region/Group,France,India,Indonesia,Netherlands,Pakistan,Poland,Portugal,South Korea,Sweden,Switzerland,Syria,Thailand,Turkey,United Kingdom,United States
1950,180,141,195,154,194,190,18,155,225,154,106,62,117,105,352
1951,997,277,58,454,169,575,17,256,297,151,1,87,136,246,695
1952,1180,104,14,423,145,794,116,266,316,321,20,49,337,532,875
1953,1663,430,6,975,95,1021,280,263,431,169,18,25,171,1610,1315
1954,1669,265,16,784,145,1999,369,158,319,142,9,77,172,537,1896
1955,1603,350,25,719,195,1098,162,351,447,230,90,49,445,322,1892
1956,1546,366,42,1171,158,687,90,461,541,313,135,10,300,141,2071
1957,738,980,30,703,529,1080,157,290,253,223,463,88,608,93,1371
1958,1113,954,624,467,353,1048,99,264,170,232,112,15,602,554,701
1959,802,855,647,146,323,994,48,252,257,289,22,10,916,543,645
1960,529,544,441,294,42,853,31,195,232,219,21,28,593,26,221
1961,325,1122,752,309,69,849,150,180,159,37,12,57,312,34,238
1962,122,371,993,370,88,688,28,132,134,4,20,110,266,38,264
1963,162,647,180,711,181,1001,41,218,324,52,74,110,582,139,323
1964,1300,920,518,910,85,1565,45,283,403,263,50,97,835,118,326
1965,378,1049,330,745,214,1155,62,631,317,228,77,89,412,152,190
1966,106,994,16,182,594,981,235,570,294,373,508,113,335,216,109
1967,93,1265,1,741,153,746,298,130,342,177,889,152,593,1422,84
1968,113,1655,0,266,418,861,388,357,227,199,805,69,426,2288,70
1969,54,1518,9,555,559,933,359,499,159,166,852,135,644,2570,70
1970,34,872,27,699,447,933,370,93,122,141,880,214,396,60,43
1971,47,1870,92,698,553,925,177,235,96,149,731,240,941,171,587
1972,28,1818,5,662,664,851,16,373,172,187,1497,202,1095,217,779
1973,51,1336,73,21,162,1047,16,253,231,116,3272,342,789,234,664
1974,46,1301,73,40,230,1067,117,450,256,64,3420,97,1279,319,592
1975,45,1106,4,96,241,966,326,654,292,138,1412,77,639,337,393
1976,196,1932,156,266,279,788,64,556,214,143,527,148,365,251,499
1977,204,2389,60,579,264,928,94,1192,100,5,931,104,298,256,384
1978,241,1201,126,699,649,1113,128,381,197,218,871,325,989,179,369
1979,107,1199,376,775,710,1128,5,1354,247,228,2045,171,919,219,253
1980,70,1768,910,621,854,1091,36,924,246,274,1859,307,488,544,380
1981,101,2123,796,757,485,808,50,893,452,290,1338,320,732,800,531
1982,137,2275,360,1243,537,724,190,684,171,177,1973,82,483,757,248
1983,103,2656,228,1356,777,528,4,501,179,443,2233,325,478,286,463
1984,68,2782,100,1203,856,462,109,527,109,404,1809,386,560,633,381
1985,15,3001,289,899,747,918,154,765,82,341,1575,185,690,355,655
1986,96,4266,432,813,280,1380,5,880,160,108,1262,162,484,273,420
1987,84,3930,264,629,616,1020,9,770,159,151,1409,517,1439,207,1992
1988,137,3857,291,383,411,896,90,1220,135,179,1312,607,1638,278,1787
1989,107,3694,248,711,962,498,135,1851,105,319,663,266,1029,205,1784
1990,60,2856,202,274,623,227,70,1213,90,440,739,223,1251,117,367
1991,945,1885,11,324,498,76,1013,926,49,476,321,570,1290,936,520
1992,420,1186,52,239,352,95,19,792,60,388,243,498,1890,1132,535
1993,91,737,214,142,972,5,361,1038,39,104,173,185,2337,784,963
1994,75,884,471,210,863,69,453,1037,297,119,19,610,1901,413,950
1995,100,1401,285,83,366,245,20,1964,101,93,35,522,1574,492,757
1996,66,844,379,205,500,102,8,1985,95,187,35,732,1494,568,557
1997,226,1666,105,126,691,1,0,1237,195,379,35,935,1521,496,582
1998,174,753,88,271,699,3,16,1435,294,436,55,77,2636,741,266
1999,110,1211,164,278,874,25,3,1654,224,507,58,168,1736,124,222
2000,104,983,150,123,182,148,2,1401,206,23,64,85,1181,867,336
2001,66,1193,26,164,419,33,19,777,165,68,28,117,509,1273,499
2002,43,2022,68,244,565,256,,533,76,63,45,152,900,720,511
2003,57,2741,358,125,652,350,29,757,64,117,69,131,330,775,610
2004,93,2215,79,127,477,226,70,1068,47,203,25,114,257,218,578
2005,2,1200,37,98,443,103,158,815,78,168,35,70,1095,32,537
2006,67,1485,65,317,356,439,220,1659,129,83,100,47,531,328,646
2007,74,2275,580,237,694,966,60,1732,51,108,20,8,692,796,832
2008,5,1858,243,154,1071,632,144,1690,53,17,294,16,640,496,973
2009,76,1864,442,293,1192,190,370,798,17,39,205,63,732,375,977
2010,106,2912,225,190,2215,169,893,1299,11,48,413,58,485,492,1091
2011,48,3599,249,120,1130,137,167,1570,191,32,493,249,780,366,1012
2012,90,4393,212,254,1009,223,39,1078,207,10,516,272,1503,583,1216
2013,107,5382,823,451,1090,145,12,191,56,6,506,378,793,505,791
2014,17,3380,1190,8,829,259,3,725,45,5,21,104,1524,211,590
2015,49,3149,438,59,780,140,1,257,14,12,22,182,438,397,519
2016,52,3038,380,75,839,55,21,1058,70,73,8,340,328,259,457
2017,76,2980,1169,33,877,154,8,1052,46,34,32,322,428,1002,522
2018,183,1705,339,144,879,71,20,1100,7,10,181,628,488,519,378
2019,99,3444,212,492,669,319,45,1480,7,13,,291,760,342,844
2020,215,2813,269,570,760,196,45,1292,3,10,84,154,94,639,747
Total,20484,128232,19333,30654,38995,43246,9379,56077,12554,12288,40178,14810,56649,35262,47296
