Date,Delhi,Haryana,HimachalPradesh,Punjab,Rajasthan,UttarPradesh,Uttarakhand,Chhattisgarh,Gujarat,MadhyaPradesh,Maharashtra,Goa,AndhraPradesh,Telangana,Karnataka,Kerala,TamilNadu,Bihar,Jharkhand,Odisha,WestBengal,Sikkim,ArunachalPradesh,Assam,Manipur,Meghalaya,Mizoram,Nagaland,Tripura,AllIndia
01-01-2015,2087,3521,765,2914,6027,8287,1113,1772,7729,5238,10730,292,4193,4134,5561,1888,7712,1802,647,2023,3417,36,55,680,67,192,39,61,86,87163
01-02-2015,1804,3182,687,2652,5630,7208,961,1696,7378,3821,9841,242,4011,4103,5452,1792,7501,1484,555,1839,3128,29,53,588,58,170,35,60,80,79502
01-03-2015,1824,2913,698,2815,4627,7225,987,2160,8184,3481,10281,396,4541,4628,6050,2076,8763,1790,641,2277,4050,33,48,660,60,175,40,66,120,85410
01-04-2015,2263,3003,718,3001,4485,7747,1006,2109,8775,3550,11649,427,4201,4246,5482,1922,8155,1703,580,2224,3777,30,37,629,56,143,33,54,86,85754
01-05-2015,3091,4100,765,4349,5366,9651,1139,2128,9193,3722,12473,76,4531,4027,5195,1959,8135,1929,657,2393,2968,34,56,798,69,143,40,62,118,93107
01-06-2015,3098,4326,733,5451,5144,9491,1146,1755,8088,4086,10915,444,3870,3590,4598,1778,8199,1882,601,2244,4250,30,39,736,61,137,37,63,108,90859
01-07-2015,3119,4866,737,6350,4793,9605,1144,2102,8160,3820,11953,397,4550,4345,5475,1874,8918,1975,598,2322,3989,28,39,824,84,151,38,69,104,96381
01-08-2015,3082,5052,734,6212,5230,9981,1121,2199,8448,4373,11464,434,4138,4377,5402,1910,8451,2050,648,2347,4519,27,46,817,67,156,37,66,108,97428
01-09-2015,3047,4921,735,5478,6197,10234,1130,2211,8824,5136,11245,421,3949,4286,4979,1889,8341,2104,680,2247,4436,26,53,806,65,153,35,61,106,97740
01-10-2015,2544,4271,724,3928,6005,9426,1029,2364,9706,6390,13023,432,4386,4611,5341,1963,8138,2182,660,2330,3656,28,59,811,70,147,38,66,120,98457
01-11-2015,1804,3159,675,2670,5802,7785,959,2268,8452,5832,11809,422,3664,3886,4704,1830,6249,2092,653,2075,3599,47,59,672,72,152,40,60,109,85458
01-12-2015,1904,3490,777,3212,6348,7976,1085,2150,8236,6757,11690,441,3925,4104,5215,1947,6948,2028,669,1955,3298,34,56,656,76,167,43,64,79,89380
01-01-2016,1970,3644,775,3073,6568,8340,1135,2044,8437,6358,11297,434,4122,4030,5719,1931,7887,2141,706,2074,3477,39,61,683,80,185,46,67,53,91476
01-02-2016,1773,3448,723,3018,5862,7756,1008,2002,8136,5771,11604,409,4326,4206,5776,1964,8240,1849,641,2108,3523,36,59,636,69,156,42,61,88,89094
01-03-2016,1931,3232,725,2883,5620,8396,987,2314,9089,5395,12695,427,4794,4515,6457,2309,9519,2074,665,2392,4444,40,62,694,71,143,42,62,123,96147
01-04-2016,2628,3618,672,3381,5328,9198,1081,2249,9187,5559,12624,423,4729,4495,6330,2342,9623,2250,717,2389,4595,37,54,634,54,120,41,53,145,98671
01-05-2016,3287,4196,750,4734,5941,9312,1159,2042,9736,5239,12556,429,4445,3853,5459,2181,9133,2475,708,2489,3977,43,54,733,58,130,39,56,105,99442
01-06-2016,2622,4200,736,4341,5545,9069,1079,1932,8178,5077,11551,320,4821,4482,5989,2033,8945,2215,652,2184,4389,34,63,835,64,150,40,68,132,95908
01-07-2016,3311,5303,744,6598,5284,9268,1149,1871,8353,5196,10403,411,4254,4051,4443,1883,9005,2199,636,2366,4567,34,57,815,63,149,41,65,116,96631
01-08-2016,3211,5003,742,6389,4735,9351,1153,2107,7759,5348,11113,412,4835,4912,5263,1991,9264,2308,645,2306,4632,41,62,971,60,138,41,69,121,99013
01-09-2016,3109,5062,751,6226,5801,9736,1139,2061,9105,4624,10947,310,4448,4060,5183,1916,8843,2261,651,2081,4550,37,60,888,60,141,37,68,120,98278
01-10-2016,2622,4200,736,4341,5545,9069,1079,1932,8178,5077,11551,320,4821,4482,5989,2033,8945,2215,652,2184,4389,34,63,835,64,150,40,68,132,95908
01-11-2016,1751,2876,710,2842,5747,7963,960,1657,7680,6273,11764,307,4654,4161,5998,1988,8000,1954,631,2013,3240,38,61,677,66,137,45,64,137,88302
01-12-2016,1797,3567,755,3223,6187,8466,1027,1772,8448,6529,12158,313,4260,4443,5572,2004,7863,2055,714,2046,3268,45,66,662,73,148,51,70,145,91827
